state,date,new_results_reported,total_results_reported,Longitude,Latitude
OH,10/28/2020,3574,223580,-82.70936,40.415534
LA,10/28/2020,933,285271,-91.840238,30.921314
NY,10/28/2020,2333,583950,-75.59655,42.921241
FL,10/28/2020,5231,1250486,-82.420978,28.260731
MD,10/29/2020,1756,248401,-76.687282,38.946466
CA,10/29/2020,4316,956351,-119.662127,37.211164
LA,10/29/2020,774,286045,-91.840238,30.921314
FL,10/29/2020,4904,1255390,-82.420978,28.260731
GA,10/29/2020,1324,330290,-83.426574,32.638481
NY,10/29/2020,2232,586182,-75.59655,42.921241
WA,10/29/2020,708,95189,-120.592492,47.411715
OH,10/29/2020,4019,227599,-82.70936,40.415534
LA,10/3/2020,695,265816,-91.840238,30.921314
FL,10/3/2020,2516,1162833,-82.420978,28.260731
CA,10/3/2020,2546,885328,-119.662127,37.211164
GA,10/3/2020,724,296752,-83.426574,32.638481
MD,10/3/2020,963,214428,-76.687282,38.946466
WA,10/3/2020,316,83637,-120.592492,47.411715
NY,10/3/2020,1251,539905,-75.59655,42.921241
OH,10/3/2020,1101,172173,-82.70936,40.415534
WA,10/30/2020,734,95923,-120.592492,47.411715
LA,10/30/2020,889,286934,-91.840238,30.921314
CA,10/30/2020,4964,961315,-119.662127,37.211164
GA,10/30/2020,1692,331982,-83.426574,32.638481
MD,10/30/2020,2035,250436,-76.687282,38.946466
FL,10/30/2020,4970,1260360,-82.420978,28.260731
OH,10/30/2020,3820,231419,-82.70936,40.415534
NY,10/30/2020,2413,588595,-75.59655,42.921241
MD,10/31/2020,1566,252002,-76.687282,38.946466
LA,10/31/2020,723,287657,-91.840238,30.921314
GA,10/31/2020,896,332878,-83.426574,32.638481
WA,10/31/2020,650,96573,-120.592492,47.411715
CA,10/31/2020,4856,966171,-119.662127,37.211164
NY,10/31/2020,2055,590650,-75.59655,42.921241
FL,10/31/2020,4235,1264595,-82.420978,28.260731
OH,10/31/2020,2930,234349,-82.70936,40.415534
CA,10/4/2020,369,885697,-119.662127,37.211164
OH,10/4/2020,1001,173174,-82.70936,40.415534
MD,10/4/2020,942,215370,-76.687282,38.946466
WA,10/4/2020,317,83954,-120.592492,47.411715
