state,date,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,Longitude,Latitude
OH,6/26/2020,,,-82.70936,40.415534
WA,6/26/2020,,,-120.592492,47.411715
CA,6/25/2020,,,-119.662127,37.211164
FL,6/25/2020,,,-82.420978,28.260731
GA,6/25/2020,,,-83.426574,32.638481
LA,6/25/2020,41.0,,-91.840238,30.921314
MD,6/25/2020,,,-76.687282,38.946466
NY,6/25/2020,0.0,0.0,-75.59655,42.921241
OH,6/25/2020,,,-82.70936,40.415534
WA,6/25/2020,,,-120.592492,47.411715
CA,6/24/2020,,,-119.662127,37.211164
FL,6/24/2020,,,-82.420978,28.260731
GA,6/24/2020,,,-83.426574,32.638481
LA,6/24/2020,43.0,,-91.840238,30.921314
MD,6/24/2020,,,-76.687282,38.946466
NY,6/24/2020,0.0,0.0,-75.59655,42.921241
OH,6/24/2020,,,-82.70936,40.415534
WA,6/24/2020,,,-120.592492,47.411715
CA,6/23/2020,,,-119.662127,37.211164
FL,6/23/2020,,,-82.420978,28.260731
GA,6/23/2020,,,-83.426574,32.638481
LA,6/23/2020,32.0,,-91.840238,30.921314
MD,6/23/2020,,,-76.687282,38.946466
NY,6/23/2020,0.0,0.0,-75.59655,42.921241
OH,6/23/2020,,,-82.70936,40.415534
WA,6/23/2020,,,-120.592492,47.411715
CA,6/22/2020,,,-119.662127,37.211164
FL,6/22/2020,,,-82.420978,28.260731
GA,6/22/2020,,,-83.426574,32.638481
LA,6/22/2020,28.0,,-91.840238,30.921314
MD,6/22/2020,,,-76.687282,38.946466
NY,6/22/2020,0.0,0.0,-75.59655,42.921241
OH,6/22/2020,,,-82.70936,40.415534
WA,6/22/2020,,,-120.592492,47.411715
CA,6/21/2020,,,-119.662127,37.211164
FL,6/21/2020,,,-82.420978,28.260731
GA,6/21/2020,,,-83.426574,32.638481
LA,6/21/2020,41.0,,-91.840238,30.921314
MD,6/21/2020,,,-76.687282,38.946466
NY,6/21/2020,0.0,0.0,-75.59655,42.921241
OH,6/21/2020,,,-82.70936,40.415534
WA,6/21/2020,,,-120.592492,47.411715
CA,6/20/2020,,,-119.662127,37.211164
FL,6/20/2020,,,-82.420978,28.260731
GA,6/20/2020,,,-83.426574,32.638481
LA,6/20/2020,39.0,,-91.840238,30.921314
MD,6/20/2020,,,-76.687282,38.946466
NY,6/20/2020,0.0,0.0,-75.59655,42.921241
OH,6/20/2020,,,-82.70936,40.415534
WA,6/20/2020,,,-120.592492,47.411715
CA,6/19/2020,,,-119.662127,37.211164
FL,6/19/2020,,,-82.420978,28.260731
GA,6/19/2020,,,-83.426574,32.638481
LA,6/19/2020,34.0,,-91.840238,30.921314
MD,6/19/2020,,,-76.687282,38.946466
NY,6/19/2020,0.0,0.0,-75.59655,42.921241
OH,6/19/2020,,,-82.70936,40.415534
WA,6/19/2020,,,-120.592492,47.411715
CA,6/18/2020,,,-119.662127,37.211164
FL,6/18/2020,,,-82.420978,28.260731
GA,6/18/2020,,,-83.426574,32.638481
LA,6/18/2020,35.0,,-91.840238,30.921314
MD,6/18/2020,,,-76.687282,38.946466
NY,6/18/2020,0.0,0.0,-75.59655,42.921241
OH,6/18/2020,,,-82.70936,40.415534
WA,6/18/2020,,,-120.592492,47.411715
CA,6/17/2020,,,-119.662127,37.211164
FL,6/17/2020,,,-82.420978,28.260731
GA,6/17/2020,,,-83.426574,32.638481
LA,6/17/2020,29.0,,-91.840238,30.921314
MD,6/17/2020,,,-76.687282,38.946466
NY,6/17/2020,0.0,0.0,-75.59655,42.921241
OH,6/17/2020,,,-82.70936,40.415534
WA,6/17/2020,,,-120.592492,47.411715
CA,6/16/2020,,,-119.662127,37.211164
FL,6/16/2020,,,-82.420978,28.260731
GA,6/16/2020,,,-83.426574,32.638481
LA,6/16/2020,34.0,,-91.840238,30.921314
MD,6/16/2020,,,-76.687282,38.946466
NY,6/16/2020,0.0,0.0,-75.59655,42.921241
OH,6/16/2020,,,-82.70936,40.415534
WA,6/16/2020,,,-120.592492,47.411715
CA,6/15/2020,,,-119.662127,37.211164
FL,6/15/2020,,,-82.420978,28.260731
GA,6/15/2020,,,-83.426574,32.638481
LA,6/15/2020,23.0,,-91.840238,30.921314
MD,6/15/2020,,,-76.687282,38.946466
NY,6/15/2020,0.0,0.0,-75.59655,42.921241
OH,6/15/2020,,,-82.70936,40.415534
WA,6/15/2020,,,-120.592492,47.411715
CA,6/14/2020,,,-119.662127,37.211164
FL,6/14/2020,,,-82.420978,28.260731
GA,6/14/2020,,,-83.426574,32.638481
LA,6/14/2020,30.0,,-91.840238,30.921314
MD,6/14/2020,,,-76.687282,38.946466
NY,6/14/2020,0.0,0.0,-75.59655,42.921241
OH,6/14/2020,,,-82.70936,40.415534
WA,6/14/2020,,,-120.592492,47.411715
CA,6/13/2020,,,-119.662127,37.211164
FL,6/13/2020,,,-82.420978,28.260731
GA,6/13/2020,,,-83.426574,32.638481
LA,6/13/2020,34.0,,-91.840238,30.921314
MD,6/13/2020,,,-76.687282,38.946466
NY,6/13/2020,0.0,0.0,-75.59655,42.921241
OH,6/13/2020,,,-82.70936,40.415534
WA,6/13/2020,,,-120.592492,47.411715
CA,6/12/2020,,,-119.662127,37.211164
FL,6/12/2020,,,-82.420978,28.260731
GA,6/12/2020,,,-83.426574,32.638481
LA,6/12/2020,37.0,,-91.840238,30.921314
MD,6/12/2020,,,-76.687282,38.946466
NY,6/12/2020,0.0,0.0,-75.59655,42.921241
OH,6/12/2020,,,-82.70936,40.415534
WA,6/12/2020,,,-120.592492,47.411715
CA,6/11/2020,,,-119.662127,37.211164
FL,6/11/2020,,,-82.420978,28.260731
GA,6/11/2020,,,-83.426574,32.638481
LA,6/11/2020,34.0,,-91.840238,30.921314
MD,6/11/2020,,,-76.687282,38.946466
NY,6/11/2020,1.0,0.0,-75.59655,42.921241
OH,6/11/2020,,,-82.70936,40.415534
WA,6/11/2020,,,-120.592492,47.411715
CA,6/10/2020,,,-119.662127,37.211164
FL,6/10/2020,,,-82.420978,28.260731
GA,6/10/2020,,,-83.426574,32.638481
LA,6/10/2020,41.0,,-91.840238,30.921314
MD,6/10/2020,,,-76.687282,38.946466
NY,6/10/2020,0.0,0.0,-75.59655,42.921241
OH,6/10/2020,,,-82.70936,40.415534
WA,6/10/2020,,,-120.592492,47.411715
CA,6/9/2020,,,-119.662127,37.211164
FL,6/9/2020,,,-82.420978,28.260731
GA,6/9/2020,,,-83.426574,32.638481
LA,6/9/2020,20.0,,-91.840238,30.921314
MD,6/9/2020,,,-76.687282,38.946466
NY,6/9/2020,0.0,0.0,-75.59655,42.921241
OH,6/9/2020,,,-82.70936,40.415534
WA,6/9/2020,,,-120.592492,47.411715
CA,6/8/2020,,,-119.662127,37.211164
FL,6/8/2020,,,-82.420978,28.260731
GA,6/8/2020,,,-83.426574,32.638481
LA,6/8/2020,23.0,,-91.840238,30.921314
MD,6/8/2020,,,-76.687282,38.946466
NY,6/8/2020,0.0,0.0,-75.59655,42.921241
OH,6/8/2020,,,-82.70936,40.415534
WA,6/8/2020,,,-120.592492,47.411715
CA,6/7/2020,,,-119.662127,37.211164
FL,6/7/2020,,,-82.420978,28.260731
GA,6/7/2020,,,-83.426574,32.638481
LA,6/7/2020,31.0,,-91.840238,30.921314
MD,6/7/2020,,,-76.687282,38.946466
NY,6/7/2020,0.0,0.0,-75.59655,42.921241
OH,6/7/2020,,,-82.70936,40.415534
WA,6/7/2020,,,-120.592492,47.411715
CA,6/6/2020,,,-119.662127,37.211164
FL,6/6/2020,,,-82.420978,28.260731
GA,6/6/2020,,,-83.426574,32.638481
LA,6/6/2020,27.0,,-91.840238,30.921314
MD,6/6/2020,,,-76.687282,38.946466
NY,6/6/2020,0.0,0.0,-75.59655,42.921241
OH,6/6/2020,,,-82.70936,40.415534
WA,6/6/2020,,,-120.592492,47.411715
CA,6/5/2020,,,-119.662127,37.211164
FL,6/5/2020,,,-82.420978,28.260731
GA,6/5/2020,,,-83.426574,32.638481
LA,6/5/2020,26.0,,-91.840238,30.921314
MD,6/5/2020,,,-76.687282,38.946466
NY,6/5/2020,1.0,0.0,-75.59655,42.921241
OH,6/5/2020,,,-82.70936,40.415534
WA,6/5/2020,,,-120.592492,47.411715
CA,6/4/2020,,,-119.662127,37.211164
FL,6/4/2020,,,-82.420978,28.260731
GA,6/4/2020,,,-83.426574,32.638481
LA,6/4/2020,30.0,,-91.840238,30.921314
MD,6/4/2020,,,-76.687282,38.946466
NY,6/4/2020,0.0,0.0,-75.59655,42.921241
OH,6/4/2020,,,-82.70936,40.415534
WA,6/4/2020,,,-120.592492,47.411715
CA,6/3/2020,,,-119.662127,37.211164
FL,6/3/2020,,,-82.420978,28.260731
GA,6/3/2020,,,-83.426574,32.638481
LA,6/3/2020,21.0,,-91.840238,30.921314
MD,6/3/2020,,,-76.687282,38.946466
NY,6/3/2020,2.0,0.0,-75.59655,42.921241
OH,6/3/2020,,,-82.70936,40.415534
WA,6/3/2020,,,-120.592492,47.411715
CA,6/2/2020,,,-119.662127,37.211164
FL,6/2/2020,,,-82.420978,28.260731
GA,6/2/2020,,,-83.426574,32.638481
LA,6/2/2020,27.0,,-91.840238,30.921314
MD,6/2/2020,,,-76.687282,38.946466
NY,6/2/2020,0.0,0.0,-75.59655,42.921241
OH,6/2/2020,,,-82.70936,40.415534
WA,6/2/2020,,,-120.592492,47.411715
CA,6/1/2020,,,-119.662127,37.211164
FL,6/1/2020,,,-82.420978,28.260731
GA,6/1/2020,,,-83.426574,32.638481
LA,6/1/2020,34.0,,-91.840238,30.921314
MD,6/1/2020,,,-76.687282,38.946466
NY,6/1/2020,0.0,0.0,-75.59655,42.921241
OH,6/1/2020,,,-82.70936,40.415534
WA,6/1/2020,,,-120.592492,47.411715
CA,5/31/2020,,,-119.662127,37.211164
FL,5/31/2020,,,-82.420978,28.260731
GA,5/31/2020,,,-83.426574,32.638481
LA,5/31/2020,28.0,,-91.840238,30.921314
MD,5/31/2020,,,-76.687282,38.946466
NY,5/31/2020,0.0,0.0,-75.59655,42.921241
OH,5/31/2020,,,-82.70936,40.415534
WA,5/31/2020,,,-120.592492,47.411715
CA,5/30/2020,,,-119.662127,37.211164
FL,5/30/2020,,,-82.420978,28.260731
GA,5/30/2020,,,-83.426574,32.638481
LA,5/30/2020,28.0,,-91.840238,30.921314
MD,5/30/2020,,,-76.687282,38.946466
NY,5/30/2020,0.0,0.0,-75.59655,42.921241
OH,5/30/2020,,,-82.70936,40.415534
WA,5/30/2020,,,-120.592492,47.411715
CA,5/29/2020,,,-119.662127,37.211164
FL,5/29/2020,,,-82.420978,28.260731
GA,5/29/2020,,,-83.426574,32.638481
LA,5/29/2020,34.0,,-91.840238,30.921314
MD,5/29/2020,,,-76.687282,38.946466
NY,5/29/2020,0.0,0.0,-75.59655,42.921241
OH,5/29/2020,,,-82.70936,40.415534
WA,5/29/2020,,,-120.592492,47.411715
CA,5/28/2020,,,-119.662127,37.211164
FL,5/28/2020,,,-82.420978,28.260731
GA,5/28/2020,,,-83.426574,32.638481
LA,5/28/2020,34.0,,-91.840238,30.921314
MD,5/28/2020,,,-76.687282,38.946466
NY,5/28/2020,0.0,0.0,-75.59655,42.921241
OH,5/28/2020,,,-82.70936,40.415534
WA,5/28/2020,,,-120.592492,47.411715
CA,5/27/2020,,,-119.662127,37.211164
FL,5/27/2020,,,-82.420978,28.260731
GA,5/27/2020,,,-83.426574,32.638481
LA,5/27/2020,34.0,,-91.840238,30.921314
MD,5/27/2020,,,-76.687282,38.946466
NY,5/27/2020,0.0,0.0,-75.59655,42.921241
OH,5/27/2020,,,-82.70936,40.415534
WA,5/27/2020,,,-120.592492,47.411715
CA,5/26/2020,,,-119.662127,37.211164
FL,5/26/2020,,,-82.420978,28.260731
GA,5/26/2020,,,-83.426574,32.638481
LA,5/26/2020,23.0,,-91.840238,30.921314
MD,5/26/2020,,,-76.687282,38.946466
